code_region,nom_region,annee,mois,date,saison,trimestre,trend_index,temp_moy_mensuelle_region,temp_max_region,temp_min_region,precipitations_mm_region,humidite_region,vent_moyen_region,insolation_region
11,Île-de-France,1950,1,1950-01-01,hiver,1,0.0,2.157142857142857,4.914285714285714,-0.41428571428571426,24.842857142857145,,3.5500000000000003,2339.0
11,Île-de-France,1950,2,1950-02-01,hiver,1,0.08333333333333333,6.8,10.428571428571429,3.457142857142857,65.38571428571429,,6.25,5499.333333333333
11,Île-de-France,1950,3,1950-03-01,printemps,1,0.16666666666666666,7.671428571428572,12.114285714285714,3.457142857142857,20.599999999999998,78.5,3.65,9096.0
11,Île-de-France,1950,4,1950-04-01,printemps,2,0.25,8.742857142857144,13.342857142857143,4.3428571428571425,62.61428571428571,,4.75,8585.0
11,Île-de-France,1950,5,1950-05-01,printemps,2,0.3333333333333333,14.342857142857143,19.599999999999998,9.171428571428573,60.857142857142854,75.0,3.216666666666667,12553.333333333334
11,Île-de-France,1950,6,1950-06-01,ete,2,0.4166666666666667,18.900000000000002,24.314285714285713,13.542857142857143,40.0,77.0,2.5166666666666666,13928.0
11,Île-de-France,1950,7,1950-07-01,ete,3,0.5,19.385714285714283,25.12857142857143,14.028571428571428,79.52857142857144,71.5,3.016666666666667,13340.0
11,Île-de-France,1950,8,1950-08-01,ete,3,0.5833333333333334,17.771428571428572,23.2,12.6,56.728571428571435,75.0,2.4499999999999997,12079.0
11,Île-de-France,1950,9,1950-09-01,automne,3,0.6666666666666666,13.957142857142857,17.9,10.657142857142857,90.62857142857142,87.0,3.85,5820.666666666667
11,Île-de-France,1950,10,1950-10-01,automne,4,0.75,10.357142857142858,14.271428571428572,6.871428571428572,15.4,88.0,3.3000000000000003,5861.0
11,Île-de-France,1950,11,1950-11-01,automne,4,0.8333333333333334,6.985714285714287,10.114285714285714,4.242857142857143,62.67142857142857,87.5,5.383333333333334,1679.0
11,Île-de-France,1950,12,1950-12-01,hiver,4,0.9166666666666666,0.31428571428571433,2.242857142857143,-1.4571428571428573,70.48571428571428,92.0,4.066666666666666,1136.6666666666667
11,Île-de-France,1951,1,1951-01-01,hiver,1,1.0,4.95,7.5,2.7,41.9125,87.0,4.916666666666667,3093.6666666666665
11,Île-de-France,1951,2,1951-02-01,hiver,1,1.0833333333333333,4.4,7.475,1.6,56.3125,85.0,4.816666666666666,3507.6666666666665
11,Île-de-France,1951,3,1951-03-01,printemps,1,1.1666666666666667,5.5875,9.8125,2.0125,56.275,81.5,4.75,7096.0
11,Île-de-France,1951,4,1951-04-01,printemps,2,1.25,8.85,13.975,4.025,40.15,74.0,4.183333333333334,10493.666666666666
11,Île-de-France,1951,5,1951-05-01,printemps,2,1.3333333333333333,11.9875,16.4625,8.1625,100.1375,,3.8000000000000003,8539.666666666666
11,Île-de-France,1951,6,1951-06-01,ete,2,1.4166666666666667,15.8875,20.45,11.2625,102.175,79.33333333333333,2.8666666666666667,11517.333333333334
11,Île-de-France,1951,7,1951-07-01,ete,3,1.5,18.1625,23.5375,12.775,30.4625,75.66666666666667,2.5500000000000003,13116.0
11,Île-de-France,1951,8,1951-08-01,ete,3,1.5833333333333335,16.5625,21.474999999999998,12.375,105.95,83.0,3.1666666666666665,8728.333333333334
11,Île-de-France,1951,9,1951-09-01,automne,3,1.6666666666666665,16.0875,20.7875,11.6875,43.55,,3.15,8522.0
11,Île-de-France,1951,10,1951-10-01,automne,4,1.75,9.5625,14.275,5.85,26.025,,3.1999999999999997,7155.333333333333
11,Île-de-France,1951,11,1951-11-01,automne,4,1.8333333333333335,8.7375,11.9375,5.8625,65.475,88.0,4.833333333333333,2843.0
11,Île-de-France,1951,12,1951-12-01,hiver,4,1.9166666666666665,3.9375,7.2875,1.3125,36.15,91.5,3.5500000000000003,2897.3333333333335
11,Île-de-France,1952,1,1952-01-01,hiver,1,2.0,2.8625,5.475,0.36250000000000004,53.375,90.0,4.933333333333334,2863.0
11,Île-de-France,1952,2,1952-02-01,hiver,1,2.0833333333333335,2.4625,5.375,-0.0875,36.425,88.0,3.6333333333333333,3458.0
11,Île-de-France,1952,3,1952-03-01,printemps,1,2.1666666666666665,7.725,11.4625,4.6375,77.025,84.5,4.116666666666666,4729.0
11,Île-de-France,1952,4,1952-04-01,printemps,2,2.25,11.65,17.35,6.3875,9.15,,3.8499999999999996,11309.0
11,Île-de-France,1952,5,1952-05-01,printemps,2,2.3333333333333335,14.8875,20.5,9.3875,39.6,72.5,3.216666666666667,14144.666666666666
11,Île-de-France,1952,6,1952-06-01,ete,2,2.4166666666666665,17.271428571428572,23.17142857142857,10.928571428571429,29.685714285714287,69.0,2.8666666666666667,15110.666666666666
11,Île-de-France,1952,7,1952-07-01,ete,3,2.5,19.785714285714285,25.62857142857143,14.014285714285714,10.585714285714285,65.0,3.6166666666666667,13981.0
11,Île-de-France,1952,8,1952-08-01,ete,3,2.5833333333333335,18.342857142857145,23.671428571428574,13.528571428571428,64.3,77.0,3.216666666666667,10810.666666666666
11,Île-de-France,1952,9,1952-09-01,automne,3,2.6666666666666665,12.05,16.4125,8.1625,104.5125,84.5,3.75,5858.666666666667
11,Île-de-France,1952,10,1952-10-01,automne,4,2.75,10.05,14.075,6.5,68.8375,85.33333333333333,3.8000000000000003,4891.0
11,Île-de-France,1952,11,1952-11-01,automne,4,2.8333333333333335,4.3625,7.075,1.725,88.77499999999999,87.0,4.116666666666666,1737.6666666666667
11,Île-de-France,1952,12,1952-12-01,hiver,4,2.9166666666666665,2.9250000000000003,5.375,0.7,73.7625,,4.783333333333333,1804.6666666666667
11,Île-de-France,1953,1,1953-01-01,hiver,1,3.0,0.32857142857142857,2.0142857142857142,-1.5142857142857142,14.542857142857143,92.0,2.4333333333333336,563.3333333333334
11,Île-de-France,1953,2,1953-02-01,hiver,1,3.0833333333333335,3.042857142857143,6.114285714285714,0.2571428571428571,21.82857142857143,83.0,4.25,3849.0
11,Île-de-France,1953,3,1953-03-01,printemps,1,3.1666666666666665,7.614285714285715,14.1,1.842857142857143,0.2571428571428572,67.0,3.65,11335.0
11,Île-de-France,1953,4,1953-04-01,printemps,2,3.25,10.214285714285714,15.457142857142857,5.385714285714286,48.471428571428575,71.5,4.316666666666666,10456.333333333334
11,Île-de-France,1953,5,1953-05-01,printemps,2,3.3333333333333335,14.957142857142857,20.285714285714285,9.471428571428572,24.214285714285715,66.0,3.716666666666667,13105.666666666666
11,Île-de-France,1953,6,1953-06-01,ete,2,3.4166666666666665,15.528571428571428,20.17142857142857,10.971428571428572,64.58571428571429,,3.733333333333333,8829.333333333334
11,Île-de-France,1953,7,1953-07-01,ete,3,3.5,17.485714285714288,22.214285714285715,13.228571428571428,63.214285714285715,76.0,3.6166666666666667,10470.666666666666
